id,preco
13518783164498355150900635905895481162,56965.266
299896161723793383246777788797566040330,72486.85
316180649972302128246133616457018378621,184781.56
222527157104148385909188217274642813298,90137.14
160460343059850745858546502614838368036,94724.11
262727202368986244371977784343233436999,54326.12
254093764205800086330999281077926851120,122291.31
26118184613036116787803832945215674478,177963.4
216524630140335566712794225427064313,175054.45
185631381169816366226494379020452029389,183537.34
193325654448132563278364141820152041311,144833.69
238917637717691361625086479663492481749,92093.58
55430829679256880238551444522175018156,96737.98
215317645068876070368783807654911699750,186291.62
81597227204971961501733390453078413740,161696.28
144896666825908872755051834814298387194,103361.164
184599608599423525451999366981389806783,141437.1
332523842755767369964829329030378044388,107606.52
115343777354602647202140618045743635008,130702.22
20757170217235469489036110086071917277,69609.164
185526399598537813925895625787601650168,107009.266
60658042813489826886245400795986219027,86743.836
252469656136469704862465423825396909961,169779.47
144289133420257677937750963126363910239,36554.07
286704706212186527658783613441315754259,107279.56
104788498292328609834480593297039083847,67633.734
83091551517048057678460117003997132666,190486.52
253819240599250454081144283787356606601,75357.75
47552100267769170589122325402191982347,123556.48
143932540867090135955180920741784357244,174599.66
196345985565471044954698780677909306202,197867.06
244792708737468723430839923035345593106,52853.008
84589940414664494482357035061818012137,68760.68
272199586960887794853261858460695880945,165601.53
49959439507026713714422386346459644032,47105.133
281026519311657672970881937258693325762,48210.387
93074564150014753673961081882123830374,160910.45
26728401390792884431172378844166640182,243518.08
188211565885838356078706489204052877949,55627.098
72487946181948797581370306862646034491,94177.08
228864048115975611203958077134700148633,109040.86
112454259487642510247400972640243226784,120326.125
222663295482952330188872827964862490542,33156.89
174300102534868734265445704595501072047,98682.77
65616068149477861830943576277231644996,137929.62
12512429268260634755522419284910697215,319202.47
336344009530167442733355949279054127993,36263.082
79522286518792634854353998912967788405,67651.414
82689802293775881487902613650793199776,127589.08
145087209205382180995284342956932775590,81072.625
148379644220249469735831915363404593938,74608.516
81783415914068556337040372580510327746,94380.84
17392005129747944984443660408573750669,76477.25
221003909581330971303914733428302885356,134258.42
32270994133870633595828638411924379558,107279.56
44743423162474884539743903954385097896,114803.14
256739781367016694034266877805520625472,126051.555
102069821313289958956134954896763391138,160158.3
295239204594155572903470420706758961711,77937.92
217043924033496343963491521400562422856,89821.45
230630223901851276472648163541398202700,76477.25
228794583325189840821498523768389390979,62394.477
226883211751919793077312253417502568887,107606.52
178727794896076301413017290746899811351,55510.82
233324434070255280697734700180958891999,100156.125
120196782885257163651164953359063822616,60657.633
307587965035124177469706843302286678852,58651.562
147918433942232310306879997092064646229,74608.516
322862357217576382174561616320866894896,180932.6
239523402888574028389406143855331971634,304574.7
113509983214540261664688743850173663995,84182.43
109891169875096641331353504149265117244,132772.53
14047284765259674200352849951505593080,108457.195
185048785858081984334746723407963750558,136332.44
233408161489868303803711823496315975517,31831.475
271868823659695867806389462405507434039,109192.29
234266752075173490649523075655294035700,89348.04
135193714861901808768224625797727405125,68914.875
65383514239248595231552479759479421653,107606.52
763500554236946546082152173974002095,46256.656
263071556455718053803505933844459615897,90127.01
251187863725990533753089128740859478739,32373.738
254288424794027625207128200628830798586,283969.4
286319605986498380547161295324785273852,116161.914
18156444762146185587945140921021289232,141931.17
132399590521100913284690334248594447552,66705.78
103484450878268999171337512911053865440,202943.33
3912270241651523146374566983699340012,182146.67
289442719100949424990356122406061188257,47507.04
78107569099680024366542029001316825040,69609.164
35630579392702895703343792092821020757,107606.52
180495442974534219664033650975071179678,86325.46
310808003231123687601982759789167595573,68659.445
281412885789869246852489114984059535931,68659.445
115834922999693545296191213987693964898,85184.45
5731801982113473737231393645963779999,92451.42
256716164818036322373140286568690396129,122928.81
287091925155434474451326927701130603179,107273.52
34260218896401614964439670738816901101,72999.195
129711525134942617432200032446355408594,70491.85
63813447393601008165654825811986411111,69970.516
233957718806307342910872106898233148735,107144.38
138508589382193076883186189654019084427,106523.6
171762617476835661595108367117122969376,61063.36
7122736344425113322294078330615663312,47771.383
32931879047335602142815671990698948947,60538.926
230483121396274655509988841957998046697,100317.2
315766672381283490639653109260892751611,123097.54
301104161774368724925476221283740970391,64077.24
227510606246395701960366267332503216714,75466.68
